"@timestamp","event_id","event_type","source_ip","destination_ip",notes
"Aug 18, 2025 @ 12:03:45.000","-","outbound_connection","192.168.1.129","172.217.160.142","Normal browsing"
"Aug 18, 2025 @ 12:03:40.000","-","outbound_connection","192.168.1.128","104.244.42.1","External API"
"Aug 18, 2025 @ 12:03:35.000","-","outbound_connection","192.168.1.127","34.102.136.180","Cloud connection"
"Aug 18, 2025 @ 12:03:30.000","-","outbound_connection","192.168.1.126","23.217.138.110","HTTPS traffic"
"Aug 18, 2025 @ 12:03:25.000","-","outbound_connection","192.168.1.125","185.199.108.153","GitHub traffic"
"Aug 18, 2025 @ 12:03:20.000","-","outbound_connection","192.168.1.124","151.101.1.69","Web access"
"Aug 18, 2025 @ 12:03:15.000","-","outbound_connection","192.168.1.123","8.8.4.4","DNS lookup"
"Aug 18, 2025 @ 12:03:10.000","-","outbound_connection","192.168.1.122","142.250.190.78","HTTPS traffic"
"Aug 18, 2025 @ 12:03:05.000","-","outbound_connection","192.168.1.121","1.1.1.1","External request"
"Aug 18, 2025 @ 12:03:00.000","-","outbound_connection","192.168.1.120","8.8.8.8","Normal DNS"
"Aug 18, 2025 @ 12:02:45.000","-","outbound_connection","192.168.1.119","172.217.160.142","Normal browsing"
"Aug 18, 2025 @ 12:02:40.000","-","outbound_connection","192.168.1.118","104.244.42.1","API traffic"
"Aug 18, 2025 @ 12:02:35.000","-","outbound_connection","192.168.1.117","34.102.136.180","Cloud request"
"Aug 18, 2025 @ 12:02:30.000","-","outbound_connection","192.168.1.116","23.217.138.110","HTTPS connection"
"Aug 18, 2025 @ 12:02:25.000","-","outbound_connection","192.168.1.115","185.199.108.153","GitHub access"
"Aug 18, 2025 @ 12:02:20.000","-","outbound_connection","192.168.1.114","151.101.1.69","Web traffic"
"Aug 18, 2025 @ 12:02:15.000","-","outbound_connection","192.168.1.113","8.8.4.4","External DNS"
"Aug 18, 2025 @ 12:02:10.000","-","outbound_connection","192.168.1.112","142.250.190.78","HTTPS traffic"
"Aug 18, 2025 @ 12:02:05.000","-","outbound_connection","192.168.1.111","1.1.1.1","Normal request"
"Aug 18, 2025 @ 12:02:00.000","-","outbound_connection","192.168.1.110","8.8.8.8","Normal DNS"
"Aug 18, 2025 @ 12:00:45.000","-","outbound_connection","192.168.1.109","34.102.136.180","Cloud service request"
"Aug 18, 2025 @ 12:00:40.000","-","outbound_connection","192.168.1.108","23.217.138.110","HTTPS traffic"
"Aug 18, 2025 @ 12:00:35.000","-","outbound_connection","192.168.1.107","185.199.108.153","GitHub traffic"
"Aug 18, 2025 @ 12:00:30.000","-","outbound_connection","192.168.1.106","151.101.1.69","Web request"
"Aug 18, 2025 @ 12:00:25.000","-","outbound_connection","192.168.1.105","172.217.160.142","Normal browsing"
"Aug 18, 2025 @ 12:00:20.000","-","outbound_connection","192.168.1.104","104.244.42.1","External API request"
"Aug 18, 2025 @ 12:00:15.000","-","outbound_connection","192.168.1.103","8.8.4.4","DNS query"
"Aug 18, 2025 @ 12:00:10.000","-","outbound_connection","192.168.1.102","142.250.190.78","HTTP traffic"
"Aug 18, 2025 @ 12:00:05.000","-","outbound_connection","192.168.1.101","1.1.1.1","External connection"
"Aug 18, 2025 @ 12:00:00.000","-","outbound_connection","192.168.1.100","8.8.8.8","Suspicious DNS request"
"Aug 18, 2025 @ 11:59:45.000","4,625","failed_login","192.168.1.108","192.168.1.10","Incorrect password"
"Aug 18, 2025 @ 11:59:40.000","4,625","failed_login","192.168.1.107","192.168.1.10","Repeated login failure"
"Aug 18, 2025 @ 11:59:35.000","4,625","failed_login","192.168.1.106","192.168.1.10","Authentication error"
"Aug 18, 2025 @ 11:59:30.000","4,625","failed_login","192.168.1.105","192.168.1.10","Failed admin login"
"Aug 18, 2025 @ 11:59:25.000","4,625","failed_login","192.168.1.104","192.168.1.10","Brute force attempt suspected"
"Aug 18, 2025 @ 11:59:20.000","4,625","failed_login","192.168.1.103","192.168.1.10","Suspicious login"
"Aug 18, 2025 @ 11:59:15.000","4,625","failed_login","192.168.1.102","192.168.1.10","User authentication failed"
"Aug 18, 2025 @ 11:59:10.000","4,625","failed_login","192.168.1.101","192.168.1.10","Invalid password"
"Aug 18, 2025 @ 11:59:05.000","4,625","failed_login","192.168.1.100","192.168.1.10","Repeated login failure"
"Aug 18, 2025 @ 11:59:01.000","4,625","failed_login","192.168.1.100","192.168.1.10","Failed login attempt"
